127.0.0.1 - - [05/Feb/2020:00:14:01 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:03 +0900] "GET /BBS/ HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:03 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3358
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 93995
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 117078
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 106305
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:04 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:42 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:42 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:42 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:42 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:42 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:42 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:14:43 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:00:31:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
